bootstraps,time,original,computed,difference
17602,8.480327410640998E9,3.8602723662557445,3.859932935780376,8.792915192608053E-5
17702,8.528549047065997E9,3.8602723662557445,3.859945454986737,8.468606305226101E-5
17802,8.576722455482007E9,3.8602723662557445,3.859950736198741,8.331796994817712E-5
17902,8.624920980203993E9,3.8602723662557445,3.8598684888970385,1.0462405767958829E-4
18002,8.673113970837997E9,3.8602723662557445,3.8598230411858117,1.1639724540180936E-4
18102,8.721266942834972E9,3.8602723662557445,3.859880004057732,1.0164106591090394E-4
18202,8.769475745204014E9,3.8602723662557445,3.8598245329310297,1.1601081017743025E-4
18302,8.817669017707E9,3.8602723662557445,3.8598057954589486,1.2086473505714182E-4
18402,8.865851184262014E9,3.8602723662557445,3.8597754614515125,1.2872273173667413E-4
18502,8.914007093195988E9,3.8602723662557445,3.859701668189384,1.4783880830512473E-4
18602,8.962280784779997E9,3.8602723662557445,3.8596492285251585,1.6142325500998194E-4
18702,9.010534681419012E9,3.8602723662557445,3.8596612428833876,1.583109465795728E-4
18802,9.058634620032997E9,3.8602723662557445,3.8596341411445088,1.6533162706724614E-4
18902,9.10686410565802E9,3.8602723662557445,3.8597267644166307,1.413376537581208E-4
19002,9.15504496511501E9,3.8602723662557445,3.859656843453363,1.5945061487427232E-4
19102,9.203267495831995E9,3.8602723662557445,3.859713858866956,1.4468082451143732E-4
19202,9.25146691365299E9,3.8602723662557445,3.8597682354844722,1.3059461184115745E-4
19302,9.29961180549499E9,3.8602723662557445,3.8597231116062773,1.422839109148012E-4
19402,9.347769752330008E9,3.8602723662557445,3.8598190748584673,1.1742471884617343E-4
19502,9.396026343698013E9,3.8602723662557445,3.8598432260897515,1.1116836463259455E-4
19602,9.444231168876987E9,3.8602723662557445,3.859836653060712,1.1287110174947218E-4
19702,9.492412053741993E9,3.8602723662557445,3.859884856099638,1.0038414892534418E-4
19802,9.540557427437994E9,3.8602723662557445,3.859900119554535,9.643016499656502E-5
19902,9.588749816625998E9,3.8602723662557445,3.859872327228997,1.0362974132200509E-4
20002,9.636922068061005E9,3.8602723662557445,3.8598935427555943,9.813387870289603E-5
20102,9.685085442918997E9,3.8602723662557445,3.85988714492775,9.979123011165194E-5
20202,9.733246053478985E9,3.8602723662557445,3.859872158125905,1.0367354732218578E-4
20302,9.781475869328999E9,3.8602723662557445,3.859862479559044,1.0618077115060095E-4
20402,9.829669328452003E9,3.8602723662557445,3.8598217505804513,1.1673157553137271E-4
20502,9.877829288963995E9,3.8602723662557445,3.8598484698157938,1.0980998223240238E-4
20602,9.926089403075987E9,3.8602723662557445,3.8598487527892797,1.0973667821156431E-4
20702,9.974276117321012E9,3.8602723662557445,3.859888179534499,9.952321618646736E-5
20802,1.002240740094301E10,3.8602723662557445,3.8598654176900524,1.0541965101981663E-4
20902,1.0070656008492006E10,3.8602723662557445,3.859821235312642,1.1686505518265669E-4
21002,1.0118817000701006E10,3.8602723662557445,3.859813082432834,1.1897705118569057E-4
21102,1.0167016092791992E10,3.8602723662557445,3.8598430684288334,1.112092065481746E-4
21202,1.0215216804917994E10,3.8602723662557445,3.8598548076292976,1.0816817748328966E-4
21302,1.0263389755098011E10,3.8602723662557445,3.85988356851038,1.0071769773633912E-4
21402,1.0311583506984005E10,3.8602723662557445,3.859832991020023,1.1381975001620267E-4
21502,1.0359875225405994E10,3.8602723662557445,3.8598094413932693,1.1992025913037988E-4
